country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",19-10-2025 20:00,28.656756,77.227234,NO2,16,103,58
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",19-10-2025 20:00,28.656756,77.227234,CO,80,143,99
India,Delhi,Delhi,"Alipur, Delhi - DPCC",19-10-2025 20:00,28.815329,77.15301,PM10,152,410,247
India,Delhi,Delhi,"Alipur, Delhi - DPCC",19-10-2025 20:00,28.815329,77.15301,CO,50,117,68
India,Delhi,Delhi,"Alipur, Delhi - DPCC",19-10-2025 20:00,28.815329,77.15301,OZONE,2,74,52
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",19-10-2025 20:00,28.695381,77.181665,PM2.5,217,391,339
India,Delhi,Delhi,"DTU, Delhi - CPCB",19-10-2025 20:00,28.7500499,77.1112615,PM2.5,71,221,107
India,Delhi,Delhi,"DTU, Delhi - CPCB",19-10-2025 20:00,28.7500499,77.1112615,SO2,23,25,24
India,Delhi,Delhi,"DTU, Delhi - CPCB",19-10-2025 20:00,28.7500499,77.1112615,CO,41,68,46
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",19-10-2025 20:00,28.498571,77.26484,PM2.5,277,354,315
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",19-10-2025 20:00,28.498571,77.26484,PM10,166,321,235
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",19-10-2025 20:00,28.498571,77.26484,SO2,18,28,23
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",19-10-2025 20:00,28.498571,77.26484,CO,14,100,30
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",19-10-2025 20:00,28.5710274,77.0719006,PM2.5,187,366,308
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",19-10-2025 20:00,28.5627763,77.1180053,PM2.5,130,320,257
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",19-10-2025 20:00,28.5918245,77.2273074,PM2.5,187,337,285
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",19-10-2025 20:00,28.611281,77.237738,PM2.5,267,370,312
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",19-10-2025 20:00,28.611281,77.237738,PM10,167,312,207
